RECIPEID,NAME,RESOURCE,RESOURCE LINK,,,WARNING!!,"recipe can start ONLY with alpabet or "" (double quotes) "
1,aqua pazza,cookpad,http://cookpad.com/recipe/563589,,,,
2,blueberry pancake,,,,,,
3,applesauce pancake,,,,,,
4,chocolate cupcake,,,,,,
5,garlic cheese bread,,,,,,
6,apple cider syrup,,,,,,
7,apple sauce,,,,,,
8,apple sauce cake,,,,,,
9,banana cake,,,,,,
10,mango salsa,,,,,,
11,sausage quiche,,,,,,
12,carrot glace,,,,,,
13,cheesy potato gratin,,,,,,
14,daikon with thick sauce,,,,,,
15,marinated okura & avocado,,,,,,
16,pumpkin gratin,,
17,foiled salmon with potato,,
18,grilled miso salmon,,
19,hijiki,,
20,miso-mayo salmon,,
21,salmon muniel with mushroom sauce,3mins cooking,http://www.ntv.co.jp/3min/recipe/20121009.html
22,steamed clam soup,,
23,stewed iwashi with plum,,
24,tuna poke,,
25,tuna with avocado-wasabi,,
26,butter chicken,,
27,chicken with oba wrapped,,
28,ginger pork,,
29,italian cheese tuffed meat loaf,,
30,japanese style rosted chicken,,
31,"""leftover"" chicken noodle soup",,
32,ma-bo dofu,,
33,regular meat loaf,,
34,meat sauce,,
35,shepherd's pie,costco,
36,japanese style hamburg,,
37,tofu with ground chicken thick sauce,cookpad,http://cookpad.com/recipe/1609847
38,beef strognoff,,
39,broccoli chedder pasta,,
40,clasic saffron rice,penzeys spices,
41,mixed rice,,
42,porridge,,
43,porcini mushroom risotto,,
44,prosciutto+porcini pasta,,
45,rice with sweet potato,,
46,tea tube cake,,
47,chicken pie,estelle's,http://themainehouse.blogspot.com/2012/11/chicken-piea-sense-of-place.html
48,japanese style roasted chicken,3step cooking,http://3stepcooking.blog43.fc2.com/blog-entry-230.html
49,grilled lamb chops,costco,
50,sun-dried tomato mayonnaise,,
51,country club poppy seed chicken,estelle's,http://themainehouse.blogspot.com/search?q=country+club+poppy+seed+chicken
52,whipping cream pound cake,estelle's,http://themainehouse.blogspot.com/2012/12/the-most-decadent-finale-to-christmas.html
53,chicken caccuatire,giada de laurentiis,http://www.foodnetwork.com/recipes/giada-de-laurentiis/chicken-cacciatore-recipe/index.html
54,old-fashion white cake,estelle's,http://themainehouse.blogspot.com/2012/01/just-good-old-fashioned-cake.html
55,nikujyaga,kyounoryouri,http://www.kyounoryouri.jp/recipe/3171_%E8%82%89%E3%81%98%E3%82%83%E3%81%8C.html
56,braised pork,cookpad,http://cookpad.com/recipe/247542
57,regular quiche,pioneer woman,http://thepioneerwoman.com/cooking/2009/04/quiche/
58,smashed potatoes,stacy snacks,http://www.staceysnacksonline.com/2012/05/smashed-potatoes-w-truffle-oil-yum.html
59,joojeh kabab,iran chamber,http://www.iranchamber.com/recipes/chicken/jooje_kabab.php
60,edamame seasoning(1pk),food network,http://www.foodnetwork.com/recipes/food-network-kitchens/spiced-edamame-recipe/index.html
61,meatball,,
62,roast beef (microwave),cookpad,http://cookpad.com/recipe/1227465
63,clam chowder,3mins cooking,http://www.ntv.co.jp/3min/recipe/20120409.html
64,steamed chicken,kyounoryouri,http://www.kyounoryouri.jp/recipe/2798_%E3%83%BB%E8%92%B8%E3%81%97%E9%B6%8F.html
65,crispy steamed chicken with vinegrette soy sauce,kyounoryouri,http://www.kyounoryouri.jp/recipe/2800_%E8%92%B8%E3%81%97%E9%B6%8F%E3%81%AE%E3%83%91%E3%83%AA%E3%83%91%E3%83%AA%E7%84%BC%E3%81%8D.html
66,strawberry jam,cookpad,http://cookpad.com/recipe/1134908
