RECIPEID,TAGID
1,17Q
1,43Q
2,6F
2,26Z
3,2B
3,26Z
4,13M
4,48V
5,11K
5,7G
6,2B
6,39M
7,2B
7,39M
8,2B
8,39M
8,9I
9,4D
9,9I
10,21U
10,38L
11,40N
11,54B
11,34H
12,10J
13,11K
13,31E
13,15O
14,14N
14,18R
15,25Y
15,3C
16,33G
16,15O
17,37K
17,31E
18,37K
18,22V
19,42P
20,22V
20,37K
21,37K
21,23W
22,41O
22,53A
22,44R
23,49W
23,18R
24,47U
25,47U
25,3C
26,55C
26,54B
26,32F
27,32F
27,54B
27,18R
28,18R
28,55C
28,30D
28,54B
29,17Q
29,11K
29,5E
29,54B
30,18R
30,32F
30,54B
31,32F
31,44R
31,54B
31,2X
32,46T
32,54B
32,18R
33,5E
33,54B
33,1A
34,5E
34,39M
34,54B
34,17Q
35,54B
35,50X
35,29C
35,5E
35,31E
36,54B
36,18R
36,5E
36,30D
37,54B
37,46T
37,18R
37,32F
38,54B
38,55C
38,36J
38,5E
39,8H
39,11K
39,27A
40,16P
40,35I
41,18R
41,35I
42,18R
42,35I
43,17Q
43,23W
43,35I
44,17Q
44,23W
44,27A
45,35I
45,31E
45,18R
46,9I
47,32F
47,29C
47,1A
48,54B
48,18R
48,32F
49,54B
49,1A
49,20T
50,39M
50,45S
51,54B
51,1A
51,32F
52,9I
53,54B
53,32F
54,9I
55,18R
55,31E
55,54B
55,5E
55,30D
56,18R
56,54B
56,30D
57,1A
57,51Y
57,34H
58,31E
59,54B
59,16P
59,32F
60,1A
60,18R
60,55C
60,52Z
61,54B
61,1A
61,5E
61,17Q
62,54B
62,5E
62,18R
63,44R
63,53A
63,41O
64,54B
64,32F
64,18R
65,32F
65,18R
65,54B
66,T1000
66,57E
