TAGID,NAME,last tag: 57E
1A,AMERICAN,
2B,APPLE,
3C,AVOCADO ,
4D,BANANA,
5E,BEEF,
6F,BLUEBERRY,
7G,BREAD,
8H,BROCCOLI,
9I,CAKE,
10J,CARROT,
11K,CHEESE,
12L,CHINESE,
48V,CHOCOLATE,
53A,CLAM,
13M,CUPCAKE,
14N,DAIKON
52Z,EDAMAME
51Y,EGG
15O,GRATIN
16P,INDIAN
50X,IRISH
17Q,ITALIAN
49W,IWASHI
56D,JAM
18R,JAPANESE
19S,KOREAN
20T,LAMB
21U,MANGO
54B,MEAT
22V,MISO
23W,MUSHROOM
24X,NOODLE
25Y,OKURA
26Z,PANCAKE
27A,PASTA
28B,PERSIAN
29C,PIE
30D,PORK
31E,POTATO
32F,POUTRY
33G,PUMPKIN
34H,QUICHE
35I,RICE
36J,RUSSIAN
37K,SALMON
38L,SALSA
39M,SAUCE
40N,SAUSAGE
41O,SEAFOOD
42P,SEAWEED
43Q,SNAPPER
44R,SOUP
57E,STRAWBERRY
45S,SUN-DRIED TOMATO
46T,TOFU
47U,TUNA
55C,TYLER'S FAVORITE
